mtime,AE,AJ,AT,BJ,BK,BL,BS,BY,CO,CP,CV,DI,DS,EN,ER,ET,GP,GR,GU,HN,HS,KZ,LM,LQ,LX,MU,NT,NW,OR,OZ,PS,QZ,R,TZ,W
2021-11-01T00:00,174142,187486,236890,155156,201650,202237,161360,201785,193956,110484,188067,114812,144943,178869,132822,150783,224446,206195,241581,157540,216830,150123,143765,233832,201184,210190,88900,127377,150533,179784,122420,235429,156053,245286,200287
2021-11-01T00:05,123530,188754,180635,157348,109412,141802,166002,268908,127419,117982,157142,132164,203822,165194,88644,155046,233087,223095,231345,212852,171871,152556,226811,187163,168200,227231,59078,195919,154752,174548,123921,158125,168438,257572,140753
2021-11-01T00:10,96903,171059,171923,84120,152385,108137,126103,153713,163775,103331,128681,101002,112890,120142,109701,112018,174840,176187,164203,138243,158695,129563,102568,153480,112783,184511,67719,127398,114094,125618,116235,161323,162535,147944,103371
2021-11-01T00:15,118944,106341,154983,94696,98167,137050,95275,141961,110771,56040,129673,58266,144468,0,82015,103110,196300,137599,145650,113382,163558,82979,103279,113646,136033,147546,90944,91287,82134,143730,134995,115598,100894,137682,74677
2021-11-01T00:20,208957,181893,229849,201810,168540,199641,192477,250666,169517,161093,188082,137867,199176,159771,155085,138782,291162,189287,214111,178743,187359,138204,145440,206509,216401,192403,160660,160804,161687,190445,125863,237814,207351,266868,159197
2021-11-01T00:25,245704,203641,303542,157731,183224,207761,218311,215302,266238,139027,165807,109041,246571,244855,189363,161612,269551,204314,236123,218239,257734,144133,114970,238577,138237,281182,0,179059,202014,218957,170434,231981,273077,249540,211432
2021-11-01T00:30,210249,186716,268722,118661,148036,155139,147324,176722,124910,100907,178026,52821,156242,164620,131489,128503,215812,190304,234719,198049,189034,70411,148943,194190,143586,124976,104375,143678,214903,186475,113244,225535,151977,201688,136132
2021-11-01T00:35,102792,133470,166423,84391,121689,122778,125142,125554,131284,107097,82652,101672,129345,120742,96768,119866,156188,150225,166205,167741,155441,131637,81200,139827,130224,147899,74087,97277,131618,144540,103537,136889,88377,143011,113089
2021-11-01T00:40,200719,187026,269796,158482,192389,202667,148262,215763,132493,126518,148114,143121,158128,220904,192193,141146,247379,237940,223051,172813,217182,81642,173621,241050,214640,221967,105300,142362,153030,223485,168829,218886,182398,201686,154943
2021-11-01T00:45,208675,144994,211870,106777,114905,146086,151404,184834,172602,101119,88032,65720,132239,177273,138715,111963,202166,110953,111993,170992,126014,68282,116406,153815,188142,188243,99505,143539,123427,159775,118729,180326,83456,203882,142791
2021-11-01T00:50,150239,179365,165391,152731,166489,202762,194197,198145,178365,106668,135117,141881,158233,155605,149536,122223,194399,187982,168138,199525,183192,58518,147812,180449,159663,129782,61629,113689,186539,192636,109882,156989,160042,210514,78880
2021-11-01T00:55,144974,157042,145743,91184,107739,101931,82055,155769,139294,88486,105742,72548,133159,92831,112827,111853,188286,127668,135548,137291,116070,89270,108755,154586,124878,129646,63859,78902,117637,141457,90368,127256,114210,151825,93450
2021-11-01T01:00,112600,144529,126922,78618,124023,109611,116101,117209,101895,61321,106515,47142,113520,106099,113027,120050,129676,100161,141952,133823,108026,65615,91893,119242,129094,150607,67570,47036,71294,71634,93319,83449,116120,88122,82130
2021-11-01T01:05,203175,157504,255589,140339,164921,147234,107330,209231,145170,187377,169581,143481,199932,218822,141190,120303,201436,191796,196032,197481,167468,95559,148586,195542,174202,200737,54770,165493,167641,194650,82640,121445,145968,244340,127332
2021-11-01T01:10,175428,141485,161098,104933,133478,174412,169676,171062,173346,73186,130361,112776,198629,189538,141584,112236,175860,123709,189428,160595,168804,88603,119538,135129,187898,184728,86983,105866,164985,122157,128664,191691,119076,152735,120963
2021-11-01T01:15,0,175458,214689,157470,188170,110358,147885,219749,171852,120645,162043,84842,149315,151334,89897,135946,221125,204452,163938,176799,178607,115843,173509,172930,162347,152515,91565,100470,121631,116016,124541,175688,138916,200947,0
2021-11-01T01:20,126419,127051,116325,79434,80255,98144,74105,137246,91927,80936,86308,83792,92595,108248,57858,111059,125659,128962,132504,105541,113982,78083,90715,83933,58030,112257,66626,78974,98906,95331,78616,131862,77691,124630,103922
2021-11-01T01:25,146046,157829,188962,118091,112880,165012,107180,200860,77925,74994,169240,73671,98316,155325,80981,144124,121156,170624,169850,116653,129150,108438,128379,115976,153825,159662,113043,77352,137588,165344,108981,146484,121569,154847,103084
2021-11-01T01:30,160077,150282,150036,124419,124067,104766,102014,172598,73198,67406,142147,68204,88793,124088,123592,96247,226700,166400,98694,0,118874,107640,90129,204852,115417,113571,53072,70646,78145,116321,95936,109047,115092,202900,98642
2021-11-01T01:35,84231,129282,153716,78950,81470,119533,77180,167535,111993,65045,85341,89305,74174,124672,107968,93239,133167,120585,113559,89411,94798,63662,81728,136380,116825,122884,64928,59976,84915,146713,73282,91413,84687,120825,99398
2021-11-01T01:40,58159,58001,59194,59323,52477,64190,42974,80586,72206,31295,68151,40407,57485,49787,62506,40057,57214,81401,44225,57709,63434,30224,50544,65533,48059,65554,39338,40139,47069,52802,43280,58616,45814,64741,58537
2021-11-01T01:45,219902,168566,252334,163100,184910,171318,168657,219914,123883,210693,191151,121420,257434,210166,203835,130707,201987,218217,178525,245823,215703,138375,154760,239279,201641,196490,133365,175662,217814,214721,104776,291098,207994,291092,185235
2021-11-01T01:50,74561,102051,117066,100741,115479,106145,82844,113654,0,62895,86681,79615,106036,114427,106704,83106,87639,70108,120505,91969,105827,88394,81953,96035,124049,87659,55793,77377,80029,122383,56547,126916,72780,128465,0
2021-11-01T01:55,76390,101924,73854,75625,107688,95199,77639,130599,79587,75101,105181,80398,96492,118069,62151,72292,87579,97006,98032,91188,87858,77040,51206,97530,82112,93574,56319,51952,58050,97950,43653,88126,91731,133342,70555
2021-11-01T02:00,210296,222246,0,98166,168537,115947,131747,185972,144119,126853,117123,112408,215828,174471,145057,227234,180576,184305,207625,141042,201150,143538,183553,155592,174844,234421,139254,150126,161803,189652,153134,273394,163468,243527,176190
2021-11-01T02:05,188963,147342,208316,161289,130541,195881,110522,185701,132204,110018,161740,103832,175778,157371,0,134017,155274,140535,134843,167063,153911,72366,130109,159954,128503,165114,85009,104221,159772,159922,90306,182499,153700,230575,115986
2021-11-01T02:10,103716,107271,157851,99593,68723,107686,108082,120430,97300,86089,104763,29540,117150,111020,99469,77659,116819,102520,118050,108140,118891,78802,76433,95230,131400,101553,86344,110368,103635,122780,65358,150940,91474,110600,95379
